gene_id,HNRNPK,NELFE,PKM
ENSG00000008952,0,-0.00085301304695324,-0.000688313512215446
ENSG00000008988,0,-0.00104150475018895,-0.000703851969396454
ENSG00000009307,0,-0.000595242423078755,-0.000154332352094737
ENSG00000009335,0.0189276697269191,-0.00199245672333524,-0.000501715862684385
ENSG00000009413,0,-0.00252117223671673,-0.00123887955423215
ENSG00000009694,0,0,-0.00143559061670676
ENSG00000009724,0,-0.00289291900931795,0
ENSG00000009765,0,-0.00286608848132702,0
ENSG00000009780,0,-0.000949431367472112,-0.0047235738258212
ENSG00000009790,0,0,-0.00124930244763714
ENSG00000009830,0,-0.00291341381294451,-0.00665327123748062
ENSG00000009844,0,-0.00014768595119337,-4.93630675132682e-05
ENSG00000009950,0,-0.00207923869579133,-0.00205207673048067
ENSG00000009954,0,-0.00226853864337883,-0.000587653016233243
ENSG00000010017,0,-0.00187958325195998,-0.00101719949763796
ENSG00000010030,0,-0.0025480722992863,-0.00419481363141581
ENSG00000010072,0,0,-0.000538035545107636
ENSG00000010165,0,-0.00157937848485529,-0.000403485198123664
ENSG00000010219,0,0,0
ENSG00000010244,0,-0.000123849259160517,-0.000734495648451897
ENSG00000010256,0.0853566810192591,0,-8.41083501775324e-05
ENSG00000010270,0,0,-0.00211825452663261
ENSG00000010278,0,0,-0.00203378286683223
ENSG00000010282,0,0,-0.000467284730327957
ENSG00000010292,0.0222243966974362,-0.000785499976547982,-0.000263285447323307
ENSG00000010295,0,0,0
ENSG00000010310,0,0,-0.00142551374932613
ENSG00000010318,0,-0.00297284297333031,-0.00405704815169767
ENSG00000010319,0,-0.00221188659202011,-0.00298539808342379
ENSG00000010322,0,-0.00160433491572507,-0.00532857406052921
ENSG00000010327,0,-0.00235063009453031,-0.00299667374359644
ENSG00000010361,0,0,-0.00265306581757022
ENSG00000010379,0,-0.00371871716594431,0
ENSG00000010404,0,0,0
ENSG00000010438,0,0,0
ENSG00000010539,0,-0.00621112511207203,-0.00165018391106639
ENSG00000010610,0,-0.00811081977726492,0
ENSG00000010626,0,-0.00429315887891757,-0.00257550501117617
ENSG00000010671,0,0,-0.00107594039065933
ENSG00000010704,0,0,-0.00434148031212117
ENSG00000010803,0,-0.00109261844987258,-0.00057362186399911
ENSG00000010810,0,-0.00173962956935716,-0.00342715668105375
ENSG00000010818,0,0,0
ENSG00000010932,0,-0.00519066362202833,0
ENSG00000011007,0,-0.00148410789422383,-0.000492193035782028
ENSG00000011009,0.0348656247685727,-0.00209841714416905,-0.000674202315089697
ENSG00000011021,0,-0.00223085623819874,-0.00321428038823068
ENSG00000011028,0,-0.00259226096068949,-0.006230686834805
ENSG00000011083,0,0,-0.00100399357545174
ENSG00000011105,0,-0.00178244362180315,-0.00271260152248024
ENSG00000011114,0,0,-0.00324466491208167
ENSG00000011132,0,-0.000718632431830289,-0.00312847742835658
ENSG00000011143,0,-0.00126914910217,-0.000522225449572868
ENSG00000011198,0,-0.00119038943464277,-0.000675473083834156
ENSG00000011201,0,-0.001947465255256,-0.00301714865620705
ENSG00000011243,0,-0.000850933793204988,-0.000218723245923081
ENSG00000011258,0,-0.00213539254077019,-0.00118733846373052
ENSG00000011260,0,-0.00160573050160641,-0.000453760672004258
ENSG00000011275,0,-0.00115698343240988,-0.000450410345800314
ENSG00000011295,0,-0.00045201909770516,-0.000742008866864482
