Pathway,NES_K562,NES_NPC,deltaNES_K562_minus_NPC
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,-0.93910347788689,-1.1912494306406431,0.2521459527537532
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,1.4041183457527908,-0.8011268735280592,2.20524521928085
REACTOME_CDC42_GTPASE_CYCLE,-1.161143461283718,-1.4534679558509036,0.2923244945671857
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,2.2295769702032255,2.5668619256312586,-0.33728495542803305
REACTOME_CELLULAR_HEXOSE_TRANSPORT,1.2486564360406462,1.0870655682504364,0.1615908677902098
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI,1.3171382377564398,1.1356669631903114,0.18147127456612844
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,1.6167682642928158,1.0,0.6167682642928158
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,2.5361440506897344,2.571283159699331,-0.03513910900959649
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,1.3723907107175686,1.4230793562310355,-0.05068864551346697
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,2.951221554513155,2.993159484722364,-0.04193793020920911
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,-1.6502891831254678,-1.7953825337672913,0.1450933506418235
REACTOME_CELLULAR_SENESCENCE,-1.3716664592332628,-1.2578994099327732,-0.11376704930048964
REACTOME_CELL_CELL_COMMUNICATION,2.1189820737565777,2.0442298353911523,0.07475223836542533
REACTOME_CELL_CYCLE,-1.5619616467837087,-1.2519086979072656,-0.3100529488764432
REACTOME_CELL_CYCLE_CHECKPOINTS,-1.52355935093403,-1.3555246394217975,-0.16803471151223248
REACTOME_CELL_CYCLE_MITOTIC,-1.6005132486775442,-1.293793686478212,-0.30671956219933216
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,-1.0715090425763127,-1.5942451402570388,0.522736097680726
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,1.9349882486408116,1.8630772139871619,0.07191103465364979
REACTOME_CELL_JUNCTION_ORGANIZATION,2.0867154941936903,2.036654766570697,0.050060727622993184
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,-0.9184751000318908,1.5067983094885309,-2.425273409520422
REACTOME_CGMP_EFFECTS,0.7072936817233133,-0.7055084858183658,1.412802167541679
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,1.9856252724460484,1.9162836788400042,0.0693415936060442
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,-0.904626189327351,-0.6869520207283778,-0.21767416859897315
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,1.5285478309437044,1.535734439854377,-0.007186608910672687
REACTOME_CHOLESTEROL_BIOSYNTHESIS,-1.265150944118616,-1.5144313551683337,0.24928041104971776
REACTOME_CHOLESTEROL_BIOSYNTHESIS_VIA_DESMOSTEROL_BLOCH_PATHWAY,-1.5050783604292783,-1.4401863429071544,-0.06489201752212392
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,-1.3538491978488252,-1.3941181273360337,0.040268929487208505
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,-1.460317875911718,-1.3367146423917902,-0.12360323351992775
REACTOME_CHROMATIN_ORGANIZATION,-0.7990497399395327,0.9906719547545362,-1.7897216946940688
REACTOME_CHROMOSOME_MAINTENANCE,-2.0114835181157016,-1.5854809617944807,-0.42600255632122086
REACTOME_CHYLOMICRON_ASSEMBLY,-0.796504248567135,1.0961983887818008,-1.8927026373489357
REACTOME_CILIUM_ASSEMBLY,1.2123190413865734,-0.9615256718772309,2.1738447132638044
REACTOME_CIRCADIAN_CLOCK,2.4388798412017882,2.6463590576392613,-0.20747921643747302
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,2.1251539846303795,2.062537570939194,0.06261641369118554
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,-1.126086579777097,-0.6280599615857133,-0.4980266181913836
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,-0.828121213642927,1.2617734411802268,-2.089894654823154
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,-0.6788963368859078,-0.5849606812103207,-0.09393565567558704
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,1.434109123238159,1.4474189795453074,-0.013309856307148316
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,-1.4774262282739499,-1.2742876143197093,-0.2031386139542406
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,1.8261381059814425,1.8967104930255885,-0.07057238704414592
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION,-0.9937018373207122,-1.0212911620616412,0.02758932474092901
REACTOME_CLEC7A_DECTIN_1_SIGNALING,2.3489816753328485,2.4200792347554296,-0.07109755942258111
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,-0.7754626891333702,-0.8108248130564456,0.03536212392307536
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN,-1.384243613917627,-1.132897658480558,-0.25134595543706917
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,-1.0280810292397897,-1.327162868928206,0.2990818396884163
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,-1.4905252326043237,-1.6853766767113136,0.19485144410698996
REACTOME_COLLAGEN_DEGRADATION,-0.927784572178789,-1.4171712032588142,0.4893866310800252
REACTOME_COLLAGEN_FORMATION,-0.920444987203907,-1.2224878219291087,0.30204283472520166
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0.8486274499489478,-0.6629936592635828,1.5116211092125305
REACTOME_COMPLEMENT_CASCADE,-1.0933149552505472,1.5623919366960382,-2.6557068919465854
REACTOME_COMPLEX_III_ASSEMBLY,-1.3684154892096279,1.1774807260251252,-2.545896215234753
REACTOME_COMPLEX_IV_ASSEMBLY,-1.8217377304503304,-1.6096867729914461,-0.21205095745888425
REACTOME_COMPLEX_I_BIOGENESIS,-1.6534959706465957,-1.4468208815638317,-0.206675089082764
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,-1.6779456926551177,-1.2549867935655958,-0.4229588990895219
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,-1.7351478335649997,-1.4858871362367865,-0.2492606973282132
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,0.9251160217633873,-0.9732296043389272,1.8983456261023144
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,-1.3167688380316602,-1.4660728759474606,0.14930403791580038
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII,1.950917942938157,2.209955567469391,-0.259037624531234
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,1.9599624567246627,2.071088864945755,-0.11112640822109232
REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2,1.6805003575955235,1.8812958096924304,-0.20079545209690686
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,-1.7624328007437846,-1.999225838172413,0.23679303742862845
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,1.8438193568655512,1.7502750100307787,0.09354434683477253
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,1.8463334715487305,2.046781845749801,-0.20044837420107053
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,-1.106645163503909,-1.3705553126909336,0.2639101491870246
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-1.178953991400032,-1.3457632223159142,0.16680923091588218
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,1.8014468492677622,1.8283963924255338,-0.02694954315777154
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,1.973176910035874,2.0469107150523356,-0.07373380501646154
