Term,Name,NES,NOM p-val,FDR q-val,Lead_genes
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,prerank,2.9872048060417873,0.0,0.0,ENSG00000213024;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000082898;ENSG00000087191;ENSG00000100401;ENSG00000094914;ENSG00000100764;ENSG00000103035;ENSG00000100280;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000161203;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000137309;ENSG00000041357;ENSG00000101182;ENSG00000108424;ENSG00000196262;ENSG00000102900;ENSG00000132341;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000106367;ENSG00000142507;ENSG00000175334;ENSG00000143761;ENSG00000042753
REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS,prerank,2.963095842549073,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,prerank,2.993159484722364,0.0,0.0,ENSG00000130706;ENSG00000129521;ENSG00000150991;ENSG00000135766;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000107159;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000100644;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000112715
REACTOME_METABOLISM_OF_POLYAMINES,prerank,3.37786287010096,0.0,0.0,ENSG00000130706;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000088826;ENSG00000181019;ENSG00000100764;ENSG00000180304;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000104904;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000102172
REACTOME_SPOP_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,prerank,3.207051640994152,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000170027;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000204435;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,prerank,3.181532805059332,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000109971;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000114867;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_REGULATION_OF_CDH1_FUNCTION,prerank,3.1662241965812576,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000035403;ENSG00000044115;ENSG00000100902;ENSG00000100804;ENSG00000079805;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000184009;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000164733;ENSG00000075624;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,prerank,3.15644302322797,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000033050;ENSG00000136810;ENSG00000160211;ENSG00000138798;ENSG00000108846;ENSG00000103222;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000181019;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000177156;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000104687;ENSG00000142657;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000117450
REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,prerank,3.155345630399108,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_REGULATION_OF_APOPTOSIS,prerank,3.1545513409167407,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
